2014-10-17,5.5,24349,3c120,95.6,32.0,666.2,1.3,303.6,1.4
2014-10-17,6.1,24353,3c84,42.3,55.6,458.7,0.5,286.2,0.3
2014-10-17,6.2,24354,3c84,41.2,56.6,451.8,0.4,283.0,0.6
2014-10-17,6.3,24355,0136+478,3.2,61.0,410.2,0.5,291.0,2.3
2014-10-17,6.5,24357,0339-017,122.6,54.5,462.2,1.1,294.9,1.3
2014-10-17,6.5,24358,3c120,102.8,46.8,542.0,0.5,293.0,0.7
2014-10-17,6.6,24359,0532+075,93.7,34.1,649.6,1.1,300.3,1.8
2014-10-17,6.6,24360,0457-234,131.0,27.7,690.5,1.1,314.3,1.2
2014-10-17,6.7,24361,0224+069,147.1,75.9,195.4,1.8,305.4,4.1
2014-10-17,6.7,24362,0424-379,149.0,23.4,711.8,5.1,322.2,2.9
2014-10-17,6.9,24364,2333-237,223.1,33.1,658.4,1.5,326.3,1.9
2014-10-17,7,24365,2348-165,227.5,39.8,607.4,0.9,322.5,1.1
2014-10-17,7.2,24368,0136+478,344.9,59.6,429.0,1.3,299.6,3.5
2014-10-17,7.3,24371,3c84,22.5,65.1,358.9,0.5,294.6,0.9
2014-10-17,7.6,24378,0607-085,115.0,34.1,652.4,0.7,295.8,0.8
2014-10-17,7.7,24379,0609-157,122.2,30.3,676.3,0.7,305.3,1.8
2014-10-17,7.7,24380,0309+104,157.4,80.9,126.2,9.3,300.3,1.7
2014-10-17,7.8,24382,0423-013,132.2,61.1,383.1,2.2,299.5,2.2
2014-10-17,7.8,24383,0457-234,145.0,39.0,606.3,1.8,308.6,1.6
2014-10-17,8.2,24387,0303+472,353.3,61.4,413.3,5.2,301.5,5.0
2014-10-17,8.2,24388,0136+478,329.0,53.6,495.3,4.8,317.1,7.1
2014-10-17,8.3,24390,0359+509,8.4,57.5,451.3,5.7,286.2,7.8
2014-10-17,8.4,24392,0721+713,17.7,28.3,700.7,1.1,304.4,1.2
2014-10-17,8.4,24393,0830+241,71.0,22.7,721.9,8.2,312.4,3.5
2014-10-17,8.6,24395,J0607-085,126.3,46.5,542.6,0.6,293.5,1.1
2014-10-17,8.7,24396,J0730-116,115.6,28.6,688.5,0.6,312.5,2.0
2014-10-17,8.7,24397,J0501-019,141.8,63.9,348.8,2.2,304.6,1.6
2014-10-17,8.8,24398,J0609-157,135.3,42.9,576.3,4.7,302.9,3.8
2014-10-17,8.8,24399,J0428-379,173.9,32.8,655.1,0.9,313.8,6.2
2014-10-17,8.9,24400,J0339-017,198.2,68.3,296.5,1.0,317.9,1.2
2014-10-17,11,24403,J0237+288,292.2,40.5,611.0,0.7,309.6,0.8
2014-10-17,11,24404,J0136+478,314.9,27.7,702.7,0.6,313.4,0.9
2014-10-17,11.1,24406,J0359+509,327.9,48.1,549.5,0.4,296.8,0.6
2014-10-17,11.1,24407,J0303+472,317.1,41.4,607.2,1.1,300.3,2.5
